reference_sample_id,data_status,reference_severity_class,source_difficulty_score,effective_failure_severity,source_E_co_time_s,source_E_n_g,source_E_miss_m,source_E_t_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
1,synthetic_planning_reference_v5,moderate,0.3671884464574108,1.5746372371485367,0.0608333333333331,0.155815100959486,2.63173769256959,38.5,0.08451951951951953,0.25985474407730536,2.9583040233348625,39.400000000000006
2,synthetic_planning_reference_v5,low,0.46174450392625327,0.15141655749032848,0.0833333333333286,0.203024047438897,2.98428007862642,31.05,0.10857357357357357,0.21624078637375727,2.6797709705709307,33.6
3,synthetic_planning_reference_v5,moderate,0.43895718644078735,1.7366752237442618,0.0424999999999969,0.204024830714689,3.10306402262995,32.55,0.08980480480480481,0.24556037359003122,3.3325515683441993,38.400000000000006
4,synthetic_planning_reference_v5,low,0.8646572014663294,0.08075313205386213,0.158333333333366,0.130756801915058,3.23884582005335,34.85,0.1962124624624625,0.13937868081138716,2.994957824947424,36.6
5,synthetic_planning_reference_v5,moderate,0.33911443077896825,2.2293827041256904,0.0758333333333539,0.192856915758986,2.91049274758638,31.4,0.13898398398398398,0.39053600021311075,3.1793748025977946,39.25
6,synthetic_planning_reference_v5,mild,0.136040724794041,0.5505212062829736,0.0275000000000048,0.190270206697486,2.93597561130937,32.05,0.0415015015015015,0.22952073101942563,2.9487738206934657,35.45
7,synthetic_planning_reference_v5,low,0.4200484308829827,0.05246646390708103,0.0816666666666862,0.161208245386472,3.22786915206773,33.05,0.08055555555555555,0.17948048812143663,3.0138704308164246,35.45
8,synthetic_planning_reference_v5,moderate,0.5057462625677244,1.8843067985804585,0.120000000000027,0.145152308519479,3.32874309092452,29.35,0.18420045045045047,0.22054973380514115,3.6458926053722585,37.75
9,synthetic_planning_reference_v5,low,0.45573482109750346,0.13283006036070613,0.0875000000000199,0.216461839603344,3.03072047565314,34.7,0.09749249249249249,0.2352475674249679,2.7829895334154777,36.550000000000004
10,synthetic_planning_reference_v5,mild,0.45382065795070625,0.682922206845076,0.0625000000000171,0.224988895204547,2.98219293199097,32.45,0.07169044044044044,0.2808766542077482,3.1098565220634224,36.300000000000004
11,synthetic_planning_reference_v5,low,0.7501331222048798,0.15405728864808438,0.131666666666698,0.0947572724414859,2.92026057559567,32.75,0.16993618618618617,0.09496868936971409,2.6830244584501686,34.2
12,synthetic_planning_reference_v5,low,0.37631371143627124,0.07294854415822924,0.0741666666666845,0.160790074686905,3.24082729323248,34.55,0.06720095095095095,0.18335924199029804,3.0818907365041146,36.1
13,synthetic_planning_reference_v5,moderate,0.5375399983668102,1.4615753035399799,0.0550000000000097,0.208831216813965,3.24049785646734,32.0,0.06708583583583583,0.2393596187345196,3.401199153213539,37.85
14,synthetic_planning_reference_v5,mild,0.75383506172118,0.7310001783906745,0.107500000000022,0.110337509570215,3.35491200385582,35.65,0.13211711711711713,0.18143409354422685,3.4143145269677118,37.550000000000004
15,synthetic_planning_reference_v5,moderate,0.658192100099498,2.0791597551760423,0.0608333333333491,0.196237071328945,3.00902244858685,33.15,0.09785285285285285,0.28701983566147465,3.6142314094116794,38.800000000000004
16,synthetic_planning_reference_v5,mild,0.5637967760806473,1.4478244193319607,0.0374999999999659,0.198839002023672,3.12875944021243,30.9,0.05304179179179179,0.26224792197595287,3.3642458917745164,36.300000000000004
17,synthetic_planning_reference_v5,moderate,0.69752160975256,2.431477598737754,0.104166666666572,0.166242153564083,3.28962311488593,42.2,0.16618243243243241,0.28267208393413595,3.7775648531584274,41.300000000000004
18,synthetic_planning_reference_v5,moderate,0.3187723366045973,0.9164793710612916,0.0524999999999523,0.210760983619369,2.49234160475036,29.65,0.08331831831831832,0.27597862911749255,2.479082768244414,33.7
19,synthetic_planning_reference_v5,mild,0.4964259965668695,1.264408367998373,0.05499999999995,0.142954468577435,2.91393366323409,30.75,0.10633133133133132,0.24053465972307778,3.134591387219107,36.75
20,synthetic_planning_reference_v5,mild,0.4320055525176753,0.9568593720083342,0.137499999999875,0.211106056816091,3.12718295887678,35.7,0.17856981981981984,0.24381553667198022,3.3969392380947343,38.400000000000006
21,synthetic_planning_reference_v5,low,0.7477374975079922,0.13167288393681012,0.0566666666666265,0.187651970849092,3.52959210298463,31.65,0.07341716716716716,0.20134480828647613,3.336739928651123,34.35
22,synthetic_planning_reference_v5,moderate,0.763672662385195,1.6053989214682782,0.0958333333332291,0.207766163184493,3.36795365054132,31.7,0.12034534534534536,0.29630868341646827,3.4598230164960744,37.0
23,synthetic_planning_reference_v5,mild,0.924735328001348,1.0522248536909116,0.152499999999867,0.230383521333832,3.42701230666201,41.1,0.20371996996997,0.26663197431430885,3.4838291038278224,39.900000000000006
24,synthetic_planning_reference_v5,moderate,0.3580285756739244,0.7771656337023638,0.0683333333332655,0.144259108980993,2.73620780545206,31.75,0.08391891891891892,0.16857484201730374,2.6370292705112455,36.2
25,synthetic_planning_reference_v5,moderate,0.9566989189037672,3.4615743493108333,0.268333333333089,0.118761809541695,2.81475641812666,37.85,0.295,0.2093263694903202,3.746302810910636,40.1
26,synthetic_planning_reference_v5,mild,0.6436450175488778,1.7944562982318744,0.113333333333225,0.244620921204531,3.42544300909563,31.25,0.1361811811811812,0.36463295160808973,3.737059767226655,38.2
27,synthetic_planning_reference_v5,low,0.30616445614754934,0.08106298115351747,0.0524999999999579,0.138901184865284,3.01573135400676,30.0,0.0495563063063063,0.16744824816353598,2.6839135879345566,32.7
