reference_sample_id,data_status,reference_severity_class,source_E_co_time_s,source_E_n_g,source_E_miss_m,source_E_t_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
1,synthetic_planning_reference_v2,mild,0.0816666666666677,0.0909233197248755,2.95536510102062,30.4,0.09426438273306632,0.10561233349326117,3.2042763814614363,32.95
2,synthetic_planning_reference_v2,mild,0.0574999999999967,0.0883256414340566,2.64165364276849,26.8,0.06421467987403318,0.10198883661193454,2.805090339347274,28.55
3,synthetic_planning_reference_v2,mild,0.0558333333333309,0.0808742103083003,2.95442518819733,28.85,0.06332531900242858,0.09294969097698004,3.2395603682415794,31.1
4,synthetic_planning_reference_v2,moderate,0.0499999999999965,0.0658452295163723,3.13251575665829,28.85,0.06650676026434785,0.08135812864777314,3.7430724689208,32.7
5,synthetic_planning_reference_v2,mild,0.0491666666666774,0.0851101813517012,3.47360005877085,28.95,0.055531227014871155,0.09822336058753366,3.8459414670960856,31.150000000000002
6,synthetic_planning_reference_v2,mild,0.0475000000000122,0.0843220729632527,3.31008708057413,29.3,0.05634787284059135,0.09937529330131206,3.6747201636110027,31.75
7,synthetic_planning_reference_v2,moderate,0.047500000000008,0.0768817651820473,3.07748314151531,29.05,0.0633907565516916,0.09559592252013425,3.6533144431928437,32.800000000000004
8,synthetic_planning_reference_v2,mild,0.0383333333333397,0.0707863195668664,2.95462278474342,29.05,0.04156602232316136,0.08067436989833227,3.1720721510054686,31.25
9,synthetic_planning_reference_v2,mild,0.0458333333333456,0.0701840753652389,3.23227794476437,28.75,0.05390215866933154,0.08308486425756896,3.602022914973249,31.200000000000003
10,synthetic_planning_reference_v2,mild,0.0491666666666788,0.0722043013204763,2.84843450636653,30.05,0.054778371644551654,0.08129815153737943,3.0823264715720176,32.4
11,synthetic_planning_reference_v2,mild,0.0708333333333457,0.0859928456735493,2.85545912333203,29.3,0.08273380518467295,0.09947498941923977,3.1233063310827687,31.55
12,synthetic_planning_reference_v2,mild,0.0375000000000085,0.069960734807405,2.8213541013603,28.95,0.04419360193511893,0.08273291097637549,3.1555825725352094,31.35
13,synthetic_planning_reference_v2,mild,0.0408333333333417,0.0744821572518586,3.01358453093047,29.65,0.04492108755353145,0.08652304267411066,3.2910947896132208,32.1
14,synthetic_planning_reference_v2,mild,0.0475000000000108,0.0791966912578081,2.8926492368973,27.9,0.0541419931435916,0.09328967580008268,3.213116107595518,30.1
15,synthetic_planning_reference_v2,severe,0.0425000000000097,0.0504970551849063,3.57863540186973,27.05,0.06992940995020541,0.07052594776484993,4.555820844917989,32.5
16,synthetic_planning_reference_v2,mild,0.0708333333333485,0.102775166662208,2.62847399592588,29.95,0.08209091316572255,0.11945492714323161,2.89315130949835,32.45
17,synthetic_planning_reference_v2,severe,0.028333333333336,0.0711898230809554,2.22366740804037,29.35,0.04348788582252751,0.09025965972709689,2.721597064180848,34.15
18,synthetic_planning_reference_v2,severe,0.0433333333332939,0.0649848250886361,2.62627198112998,29.35,0.07258262804270964,0.08971120122193632,3.4507809309958635,35.6
19,synthetic_planning_reference_v2,mild,0.0591666666666129,0.0703983459382287,3.16907896963486,29.05,0.06943363798523056,0.08287174703120968,3.5376962779453267,31.450000000000003
20,synthetic_planning_reference_v2,moderate,0.0491666666666219,0.0638760872598726,2.85728344121279,28.8,0.06196241331122098,0.07796478042323594,3.277218125860383,32.25
21,synthetic_planning_reference_v2,mild,0.0558333333332826,0.0620536101290202,2.33043854772348,28.15,0.063667142778271,0.07227820743721071,2.4442991125783173,30.25
22,synthetic_planning_reference_v2,mild,0.0516666666666197,0.081684559973447,3.00322654752624,28.55,0.05866500135884745,0.09524171603639335,3.247303805612745,30.6
23,synthetic_planning_reference_v2,mild,0.0491666666666219,0.0777663494772587,2.81710778678364,29.15,0.05558281761410803,0.08798616139210665,3.09116838027742,31.400000000000002
24,synthetic_planning_reference_v2,moderate,0.0408333333333019,0.0624787809502571,3.09525870922007,28.7,0.05035665090671414,0.07452178324113722,3.533552050444389,31.900000000000002
25,synthetic_planning_reference_v2,moderate,0.0499999999999716,0.0774809643433698,2.81369709903783,29.5,0.0664473129151529,0.09716788637373426,3.321617970457955,33.45
26,synthetic_planning_reference_v2,severe,0.0291666666666515,0.057543456900336,3.281711228215,29.4,0.06232305243314263,0.08452204825952042,4.423832621186906,36.75
27,synthetic_planning_reference_v2,mild,0.0499999999999602,0.0699113115237012,2.22048189787385,28.85,0.055983988745079295,0.07929800775384431,2.396915568360537,31.150000000000002
28,synthetic_planning_reference_v2,mild,0.0591666666666129,0.105012196040762,2.71673347970598,29.9,0.070870164725908,0.12498590760187654,2.977111724346748,32.550000000000004
29,synthetic_planning_reference_v2,moderate,0.0549999999999443,0.0845979476923939,3.08364413339449,29.6,0.07209906373983199,0.10501919278373396,3.6927377803331227,33.45
30,synthetic_planning_reference_v2,mild,0.0674999999999386,0.0827898759056302,3.08076834710764,30.2,0.07419976739064135,0.09324552349006959,3.33398541111426,32.550000000000004
31,synthetic_planning_reference_v2,mild,0.0616666666666163,0.0836283285517419,2.92939935100803,30.35,0.072577857289532,0.10108133027554148,3.278032966892591,33.050000000000004
32,synthetic_planning_reference_v2,moderate,0.0324999999999704,0.0723881539409018,2.8683870847741,29.4,0.04538150227020407,0.09101736023248976,3.380318283735911,33.25
33,synthetic_planning_reference_v2,mild,0.0491666666666333,0.07882966887032,3.2735720452826,29.85,0.05381269107232889,0.08947389649754059,3.5578399387452344,32.1
34,synthetic_planning_reference_v2,mild,0.0816666666665981,0.0675287707645968,2.92912199075104,29.6,0.09578656188795538,0.08065260912374206,3.2186775070666203,32.0
35,synthetic_planning_reference_v2,mild,0.0541666666666117,0.0665324017467453,2.79223924530897,28.9,0.061771687915617414,0.07611687117601741,3.033981451989176,31.05
36,synthetic_planning_reference_v2,mild,0.0483333333333007,0.0705408087915691,3.09752623927664,27.85,0.05433561915215017,0.07901171147892308,3.364773976367604,29.8
37,synthetic_planning_reference_v2,moderate,0.0391666666666424,0.0541813519927473,3.01054796000745,29.15,0.05165098521662944,0.06839587855365423,3.5191490613570457,33.0
38,synthetic_planning_reference_v2,mild,0.0474999999999568,0.0593293785812117,3.25414851418088,29.85,0.05373774325306867,0.06625431364616989,3.5600380816087602,32.1
39,synthetic_planning_reference_v2,moderate,0.0666666666666174,0.0653302368027139,2.9604430285276,29.25,0.08364287775887715,0.08221231023573816,3.443060663251911,33.0
40,synthetic_planning_reference_v2,mild,0.0333333333332917,0.069929047529472,2.87648289267671,28.95,0.03807410505220901,0.08104668619116229,3.167921719609359,31.3
41,synthetic_planning_reference_v2,mild,0.0474999999999454,0.0701795319369838,3.16808572939297,29.55,0.05594482078182872,0.08184462992298515,3.514114994014652,32.0
42,synthetic_planning_reference_v2,severe,0.0399999999999636,0.0684353403418572,3.39928104994154,29.75,0.06620259845705945,0.09195502507179197,4.306052539842078,35.7
43,synthetic_planning_reference_v2,mild,0.0408333333332848,0.0803185911724748,3.09630822703216,28.4,0.04842564519926622,0.09681309258515514,3.479737975063072,30.85
44,synthetic_planning_reference_v2,mild,0.0433333333332826,0.0765258958007611,2.54149730587415,27.35,0.04727593842112536,0.08848743921147181,2.775478214484441,29.5
45,synthetic_planning_reference_v2,mild,0.0624999999999432,0.0756095467327795,3.33263653684042,29.2,0.0727736301529737,0.08906296471425791,3.721576201255648,31.55
46,synthetic_planning_reference_v2,mild,0.0449999999999477,0.0617205710380304,3.28211678596737,28.9,0.05240748365427434,0.07210996491072044,3.630329128443624,31.25
47,synthetic_planning_reference_v2,mild,0.0349999999999568,0.0686379676579812,2.7872232519079,29.35,0.03992486777509335,0.08180969785808785,3.127528658424108,31.950000000000003
48,synthetic_planning_reference_v2,mild,0.0449999999999704,0.0706409049077509,3.1030008258002,28.4,0.049565253457175586,0.08322594650318944,3.3927813555372315,30.650000000000002
49,synthetic_planning_reference_v2,mild,0.0258333333333553,0.0550614027161656,2.94313075628704,27.8,0.029536777023211287,0.06511391086444386,3.226200022289855,30.0
50,synthetic_planning_reference_v2,mild,0.0541666666666174,0.061005748102668,3.11984126971186,27.95,0.06367500267147547,0.07108939416735167,3.438855955277286,30.1
51,synthetic_planning_reference_v2,mild,0.0533333333332848,0.0749806379091877,2.94548003104497,29.5,0.060578141775481986,0.08941837710749105,3.2097598175970043,32.0
52,synthetic_planning_reference_v2,mild,0.0641666666666083,0.0867051098044936,2.88063766948335,28.7,0.07392845481043307,0.09958099455104445,3.142353779606123,30.8
53,synthetic_planning_reference_v2,mild,0.0408333333332848,0.0743101575073759,2.8679412402608,27.95,0.04510196606114593,0.08430885616457137,3.1203482704577894,30.0
54,synthetic_planning_reference_v2,moderate,0.0474999999999454,0.0648499536178181,3.32992533672064,28.2,0.05991506241043866,0.07748395976633565,3.880559537687956,31.6
55,synthetic_planning_reference_v2,mild,0.0583333333332803,0.0890887658204951,3.364433829851,29.9,0.06959546452788848,0.1052383099393261,3.777532987019005,32.45
56,synthetic_planning_reference_v2,moderate,0.0483333333332894,0.0460655281316516,3.11768204117952,28.15,0.06321579881687421,0.05772569699228258,3.6952551245127205,31.85
