reference_sample_id,data_status,source_E_co_time_s,source_E_n_g,source_E_miss_m,source_E_t_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
1,synthetic_planning_reference,0.0816666666666677,0.0909233197248755,2.95536510102062,30.4,0.09065581378767347,0.10030286790978789,3.188608259929728,32.300000000000004
2,synthetic_planning_reference,0.0574999999999967,0.0883256414340566,2.64165364276849,26.8,0.06452530075040516,0.09629401298934766,2.8469874236196193,28.35
3,synthetic_planning_reference,0.0558333333333309,0.0808742103083003,2.95442518819733,28.85,0.06296274447527517,0.08896381806571001,3.183464710539843,30.6
4,synthetic_planning_reference,0.0499999999999965,0.0658452295163723,3.13251575665829,28.85,0.05521665444467759,0.07231918726802286,3.3926340748051507,30.6
5,synthetic_planning_reference,0.0491666666666774,0.0851101813517012,3.47360005877085,28.95,0.05507545517958353,0.09451208299328273,3.756474284453788,30.700000000000003
6,synthetic_planning_reference,0.0475000000000122,0.0843220729632527,3.31008708057413,29.3,0.05264181577680212,0.0906294180167785,3.569958299294677,31.05
7,synthetic_planning_reference,0.047500000000008,0.0768817651820473,3.07748314151531,29.05,0.05254883471434863,0.08513386731760542,3.329258996446823,30.75
8,synthetic_planning_reference,0.0383333333333397,0.0707863195668664,2.95462278474342,29.05,0.04313989594636789,0.07781917113103096,3.191626081234728,30.8
9,synthetic_planning_reference,0.0458333333333456,0.0701840753652389,3.23227794476437,28.75,0.05124754286551401,0.07797757466425846,3.484897436828462,30.5
10,synthetic_planning_reference,0.0491666666666788,0.0722043013204763,2.84843450636653,30.05,0.05576808723805939,0.07935617434780547,3.057569839366818,31.900000000000002
11,synthetic_planning_reference,0.0708333333333457,0.0859928456735493,2.85545912333203,29.3,0.07937098039096643,0.09436623395365652,3.099226553565046,31.05
12,synthetic_planning_reference,0.0375000000000085,0.069960734807405,2.8213541013603,28.95,0.042088412803087956,0.0773522083110465,3.026565751293511,30.700000000000003
13,synthetic_planning_reference,0.0408333333333417,0.0744821572518586,3.01358453093047,29.65,0.04653715845891447,0.08146790239359626,3.2648305039843213,31.400000000000002
14,synthetic_planning_reference,0.0475000000000108,0.0791966912578081,2.8926492368973,27.9,0.05356687853823171,0.08660103064613867,3.102521625870975,29.5
15,synthetic_planning_reference,0.0425000000000097,0.0504970551849063,3.57863540186973,27.05,0.049663603484702744,0.05543337882820349,3.8827334490997525,28.650000000000002
16,synthetic_planning_reference,0.0708333333333485,0.102775166662208,2.62847399592588,29.95,0.08057297024860365,0.11290301801303185,2.83590966060779,31.8
17,synthetic_planning_reference,0.028333333333336,0.0711898230809554,2.22366740804037,29.35,0.03197040944161174,0.07772002164041483,2.3929775447020165,31.05
18,synthetic_planning_reference,0.0433333333332939,0.0649848250886361,2.62627198112998,29.35,0.04883920440374925,0.07165357025806979,2.8299639966775514,31.150000000000002
19,synthetic_planning_reference,0.0591666666666129,0.0703983459382287,3.16907896963486,29.05,0.06547098823044649,0.07794271008623556,3.420971575143396,30.85
20,synthetic_planning_reference,0.0491666666666219,0.0638760872598726,2.85728344121279,28.8,0.054479828968502265,0.07089283342218293,3.0660493719236634,30.5
21,synthetic_planning_reference,0.0558333333332826,0.0620536101290202,2.33043854772348,28.15,0.06225735018646138,0.06755162821751695,2.5037373255225566,29.8
22,synthetic_planning_reference,0.0516666666666197,0.081684559973447,3.00322654752624,28.55,0.05800608242642033,0.09030105857276666,3.227816806870126,30.25
23,synthetic_planning_reference,0.0491666666666219,0.0777663494772587,2.81710778678364,29.15,0.05558218543564615,0.08521012420631253,3.0439290593006763,30.900000000000002
24,synthetic_planning_reference,0.0408333333333019,0.0624787809502571,3.09525870922007,28.7,0.0460337747269019,0.06909448591406195,3.338991624295282,30.400000000000002
25,synthetic_planning_reference,0.0499999999999716,0.0774809643433698,2.81369709903783,29.5,0.05602339666588291,0.08494173810705757,3.0364366391688358,31.200000000000003
26,synthetic_planning_reference,0.0291666666666515,0.057543456900336,3.281711228215,29.4,0.03432219307621203,0.06376226220885867,3.5461160271562058,31.150000000000002
27,synthetic_planning_reference,0.0499999999999602,0.0699113115237012,2.22048189787385,28.85,0.055603613715621905,0.0767618500818597,2.380010412644432,30.6
28,synthetic_planning_reference,0.0591666666666129,0.105012196040762,2.71673347970598,29.9,0.06476224114477616,0.11631898434717257,2.9426457459326145,31.8
29,synthetic_planning_reference,0.0549999999999443,0.0845979476923939,3.08364413339449,29.6,0.06137222303427058,0.09351227644304523,3.332867518546802,31.400000000000002
30,synthetic_planning_reference,0.0674999999999386,0.0827898759056302,3.08076834710764,30.2,0.07544354909357887,0.09154438138688781,3.3465237092110907,32.1
31,synthetic_planning_reference,0.0616666666666163,0.0836283285517419,2.92939935100803,30.35,0.0685591141253389,0.09283157924621048,3.1831469614463583,32.2
32,synthetic_planning_reference,0.0324999999999704,0.0723881539409018,2.8683870847741,29.4,0.036960025906789165,0.07909103577292477,3.075241583477555,31.200000000000003
33,synthetic_planning_reference,0.0491666666666333,0.07882966887032,3.2735720452826,29.85,0.053770247887840975,0.08666055206980744,3.5457143984730997,31.75
34,synthetic_planning_reference,0.0816666666665981,0.0675287707645968,2.92912199075104,29.6,0.09033443933797007,0.07521552313399056,3.172027692805303,31.35
35,synthetic_planning_reference,0.0541666666666117,0.0665324017467453,2.79223924530897,28.9,0.060120504216790785,0.0739846862007597,2.995554435206467,30.6
36,synthetic_planning_reference,0.0483333333333007,0.0705408087915691,3.09752623927664,27.85,0.05572907868912399,0.07766866982754761,3.368248314695988,29.5
37,synthetic_planning_reference,0.0391666666666424,0.0541813519927473,3.01054796000745,29.15,0.04476103701836439,0.05924488907175972,3.232277363274561,30.85
38,synthetic_planning_reference,0.0474999999999568,0.0593293785812117,3.25414851418088,29.85,0.0514689541852709,0.06458805924304524,3.4980904954994236,31.650000000000002
39,synthetic_planning_reference,0.0666666666666174,0.0653302368027139,2.9604430285276,29.25,0.07485614975349919,0.07214523182667036,3.198490896221462,31.0
40,synthetic_planning_reference,0.0333333333332917,0.069929047529472,2.87648289267671,28.95,0.03771469678745869,0.07760305404667672,3.1077350719567955,30.75
41,synthetic_planning_reference,0.0474999999999454,0.0701795319369838,3.16808572939297,29.55,0.052584077082189686,0.07714478056332506,3.4037230564319754,31.35
42,synthetic_planning_reference,0.0399999999999636,0.0684353403418572,3.39928104994154,29.75,0.044802075920783814,0.07538108962321971,3.665594548941026,31.55
43,synthetic_planning_reference,0.0408333333332848,0.0803185911724748,3.09630822703216,28.4,0.04510108072288068,0.08801243964054427,3.3424373311440863,30.200000000000003
44,synthetic_planning_reference,0.0433333333332826,0.0765258958007611,2.54149730587415,27.35,0.04818487484323882,0.08446549034153855,2.7514110684916537,29.0
45,synthetic_planning_reference,0.0624999999999432,0.0756095467327795,3.33263653684042,29.2,0.06892881808895485,0.08318226772335323,3.61496229445293,30.950000000000003
46,synthetic_planning_reference,0.0449999999999477,0.0617205710380304,3.28211678596737,28.9,0.051620400289792034,0.06880976896714194,3.5620395665452627,30.700000000000003
47,synthetic_planning_reference,0.0349999999999568,0.0686379676579812,2.7872232519079,29.35,0.03880813934092666,0.07502080894816514,3.0119594385936486,31.1
48,synthetic_planning_reference,0.0449999999999704,0.0706409049077509,3.1030008258002,28.4,0.050527343253953694,0.07753962724674147,3.3456199562979414,30.200000000000003
49,synthetic_planning_reference,0.0258333333333553,0.0550614027161656,2.94313075628704,27.8,0.028485643271527805,0.06035904995507034,3.1994617181386578,29.5
50,synthetic_planning_reference,0.0541666666666174,0.061005748102668,3.11984126971186,27.95,0.06023738546115438,0.06705678984745446,3.3595629801367775,29.55
51,synthetic_planning_reference,0.0533333333332848,0.0749806379091877,2.94548003104497,29.5,0.05843465170977317,0.08307640374431521,3.1715707100369914,31.25
52,synthetic_planning_reference,0.0641666666666083,0.0867051098044936,2.88063766948335,28.7,0.07190746781605724,0.09462889555618936,3.1177086516958172,30.5
53,synthetic_planning_reference,0.0408333333332848,0.0743101575073759,2.8679412402608,27.95,0.04621861879961209,0.08059931300516517,3.114234161302101,29.6
54,synthetic_planning_reference,0.0474999999999454,0.0648499536178181,3.32992533672064,28.2,0.052986879557033406,0.07184670834506454,3.615917358460901,29.8
55,synthetic_planning_reference,0.0583333333332803,0.0890887658204951,3.364433829851,29.9,0.06482656324486878,0.09750332532532614,3.643896517568101,31.700000000000003
56,synthetic_planning_reference,0.0483333333332894,0.0460655281316516,3.11768204117952,28.15,0.05338033628391871,0.049558670036858966,3.360060026931106,29.75
57,synthetic_planning_reference,0.048333333333278,0.0650776836703626,3.05743491677296,26.85,0.05400048467426616,0.07244190602216538,3.2991957231549747,28.400000000000002
58,synthetic_planning_reference,0.0499999999999773,0.0843646405283446,3.02187552037194,29.55,0.055061956700688544,0.09343048542785261,3.2526382944158985,31.25
59,synthetic_planning_reference,0.0783333333332621,0.0877118431803573,2.99405034415538,29.05,0.0868817298573317,0.09669460527278048,3.2267699026084755,30.8
60,synthetic_planning_reference,0.0608333333332894,0.0843145041658912,3.08667704540527,29.2,0.06773803490069069,0.09243134740545751,3.321283848625907,30.950000000000003
61,synthetic_planning_reference,0.0466666666666242,0.0718497977486643,3.01058721178508,29.6,0.0521685397589782,0.07948244309583502,3.24995067379544,31.450000000000003
62,synthetic_planning_reference,0.0433333333332939,0.074230038891235,3.56967450706339,28.0,0.047848489700535485,0.08138407904584313,3.872598624554417,29.650000000000002
63,synthetic_planning_reference,0.0574999999999591,0.0746236010408256,2.73023994877996,28.2,0.06392615979077498,0.08265001126162515,2.9514559471724833,29.900000000000002
64,synthetic_planning_reference,0.066666666666606,0.0746465905545317,3.55380171873137,29.35,0.07467314241306768,0.08165317245688265,3.832023443727181,31.05
65,synthetic_planning_reference,0.0483333333332894,0.0728158731078029,3.22850302594549,29.3,0.05426200752832891,0.07916172671479271,3.498092442631713,31.0
66,synthetic_planning_reference,0.0458333333332803,0.0749045566948625,2.60476935171051,29.25,0.05160268221624424,0.08233145660288559,2.8082296827166093,30.950000000000003
67,synthetic_planning_reference,0.0458333333332803,0.0797552389490927,3.19602068299174,29.5,0.0515196126034795,0.08789522732928755,3.464981094844271,31.25
68,synthetic_planning_reference,0.0408333333332962,0.0847421329066132,3.14881866212172,29.45,0.046471752475462404,0.09346986060731739,3.4190849522253446,31.150000000000002
69,synthetic_planning_reference,0.0208333333332916,0.0651479236439753,2.85314392388212,28.75,0.02396708741838959,0.07110803330795147,3.0776763539846574,30.450000000000003
70,synthetic_planning_reference,0.0466666666668289,0.0604442949226893,3.23200893982974,27.55,0.05334993224882606,0.06628620396595117,3.4922123314217535,29.150000000000002
71,synthetic_planning_reference,0.0700000000002547,0.0886772200345055,3.04102165853596,28.95,0.07819058902360451,0.09821129161428331,3.2630458276586762,30.700000000000003
72,synthetic_planning_reference,0.0625000000002274,0.0779192301858054,3.47470108244001,28.75,0.06969986254800821,0.08458961080964228,3.7605881383014967,30.5
73,synthetic_planning_reference,0.0641666666669153,0.0728481836498816,2.91417720802636,28.75,0.07180359242406435,0.07972730425933448,3.1396145972936327,30.450000000000003
74,synthetic_planning_reference,0.0666666666669244,0.0756040521914151,2.7392192522775,29.0,0.07379456734367772,0.08252592311967212,2.9683360219808765,30.75
75,synthetic_planning_reference,0.0550000000002001,0.0683162613770049,2.91019300108276,29.2,0.06114440162686157,0.07481714375589993,3.158083853559876,31.1
76,synthetic_planning_reference,0.0516666666668698,0.072609595791462,3.24229915778647,27.0,0.05760801123196386,0.08064389477544182,3.528268861159358,28.650000000000002
77,synthetic_planning_reference,0.049166666666838,0.086835153024569,2.75294491185464,29.8,0.054584095359477,0.09511514390143118,2.96055228630925,31.650000000000002
78,synthetic_planning_reference,0.0391666666668243,0.0572470133343907,2.99243708145589,29.15,0.04489317062040431,0.06276040259917691,3.24020571966077,30.900000000000002
79,synthetic_planning_reference,0.0700000000002547,0.101177802118527,2.56961895510671,30.35,0.07776779978054656,0.11108222148925524,2.789458753552313,32.15
80,synthetic_planning_reference,0.056666666666888,0.0739741899826757,2.99466537088092,29.05,0.0628202363728249,0.08113242772423386,3.219563946663366,30.8
81,synthetic_planning_reference,0.0625000000002501,0.0679184998381808,2.95365891830291,29.4,0.06896021680874496,0.07559146580343172,3.18672627680858,31.150000000000002
82,synthetic_planning_reference,0.052500000000191,0.0584842072863597,2.76072977875961,29.85,0.056890482012550384,0.06436559753608245,2.973547819724545,31.650000000000002
83,synthetic_planning_reference,0.0383333333334804,0.0787255800565753,2.55295956279022,27.0,0.043670157473460265,0.08632733514232425,2.758022207228544,28.6
84,synthetic_planning_reference,0.0458333333335077,0.0608156938203018,2.90059940601813,26.85,0.05049866273689426,0.06670048678234025,3.115231697608891,28.450000000000003
85,synthetic_planning_reference,0.0475000000001728,0.0745273318560432,3.24343639342262,29.15,0.05387855006408103,0.08165895355092555,3.4944604391805503,30.900000000000002
86,synthetic_planning_reference,0.0791666666669698,0.0725249265592823,2.99424810976031,28.35,0.08857140563858805,0.0793740839165094,3.2055435536053274,30.150000000000002
87,synthetic_planning_reference,0.0433333333334986,0.0551380059049758,2.7885089404431,28.95,0.04838118312414415,0.060201512405595105,3.01581504240127,30.700000000000003
88,synthetic_planning_reference,0.0541666666668789,0.0845392297098086,2.6766743757683,29.2,0.060464919053748095,0.09302272631066706,2.8884070972718168,31.0
89,synthetic_planning_reference,0.0341666666668061,0.064391217518416,3.14362226513631,29.45,0.038711487375973075,0.07038222901902459,3.397397247309439,31.25
90,synthetic_planning_reference,0.0758333333336168,0.0757853416214359,2.94642767307362,29.2,0.08431552750903985,0.08352758087041585,3.1655497974284867,30.950000000000003
91,synthetic_planning_reference,0.0858333333336532,0.0912605309581232,2.96478737502861,28.5,0.09618671243079713,0.10169981567153522,3.2193273351766836,30.200000000000003
92,synthetic_planning_reference,0.0591666666668971,0.0711426253571649,2.77271674573731,29.35,0.06699564524392167,0.07816034557782549,2.9935161073467937,31.150000000000002
93,synthetic_planning_reference,0.0383333333335031,0.0520236677447797,2.75464912199356,27.15,0.04378562558910817,0.05728973902261205,2.9463519646273717,28.75
94,synthetic_planning_reference,0.0458333333334622,0.0800790270769753,2.74802866293213,28.6,0.05102556009722052,0.08897156507302117,2.9589090633143,30.3
95,synthetic_planning_reference,0.0625000000002501,0.0528324579220932,2.87370208841528,27.4,0.07032526797994157,0.057628963484009074,3.1134303659704226,29.05
