reference_sample_id,data_status,source_E_co_time_s,source_E_n_g,source_E_miss_m,source_E_t_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
1,synthetic_planning_reference,0.0608333333333331,0.155815100959486,2.63173769256959,38.5,0.06842025541617479,0.17418656663398477,2.877125700375652,41.400000000000006
2,synthetic_planning_reference,0.0833333333333286,0.203024047438897,2.98428007862642,31.05,0.09465754830366793,0.2292395097911411,3.2756236805897716,33.15
3,synthetic_planning_reference,0.0424999999999969,0.204024830714689,3.10306402262995,32.55,0.049753754654934965,0.2260052051930625,3.4043392981197056,34.85
4,synthetic_planning_reference,0.158333333333366,0.130756801915058,3.23884582005335,34.85,0.18078710759271788,0.14762092536120955,3.5722090196576755,37.45
5,synthetic_planning_reference,0.0758333333333539,0.192856915758986,2.91049274758638,31.4,0.08812092805262578,0.21320832883700708,3.1860536579960836,33.6
6,synthetic_planning_reference,0.0275000000000048,0.190270206697486,2.93597561130937,32.05,0.03268210994506163,0.21185754229545098,3.2331251539479116,34.35
7,synthetic_planning_reference,0.0816666666666862,0.161208245386472,3.22786915206773,33.05,0.09514880276605299,0.17888831499354124,3.54638833801742,35.35
8,synthetic_planning_reference,0.120000000000027,0.145152308519479,3.32874309092452,29.35,0.13846810320923572,0.16300918438932158,3.6834761406530694,31.150000000000002
9,synthetic_planning_reference,0.0875000000000199,0.216461839603344,3.03072047565314,34.7,0.10016291908057903,0.24132733763350775,3.3422832790928436,37.25
10,synthetic_planning_reference,0.0625000000000171,0.224988895204547,2.98219293199097,32.45,0.06903777919215016,0.25524388423131866,3.2615174702228997,34.800000000000004
11,synthetic_planning_reference,0.131666666666698,0.0947572724414859,2.92026057559567,32.75,0.1499188952797105,0.10774205491346772,3.200660297159734,35.2
12,synthetic_planning_reference,0.0741666666666845,0.160790074686905,3.24082729323248,34.55,0.08550001249651974,0.18189980584085783,3.5637383308663475,36.85
13,synthetic_planning_reference,0.0550000000000097,0.208831216813965,3.24049785646734,32.0,0.0642175405739718,0.23118525565825335,3.5697937930283445,34.1
14,synthetic_planning_reference,0.107500000000022,0.110337509570215,3.35491200385582,35.65,0.12347934822949569,0.1219678119724051,3.7070701620565787,38.15
15,synthetic_planning_reference,0.0608333333333491,0.196237071328945,3.00902244858685,33.15,0.07015261321918274,0.22462327885450822,3.305513919575464,35.45
16,synthetic_planning_reference,0.0374999999999659,0.198839002023672,3.12875944021243,30.9,0.04475104958437552,0.22201298624605625,3.449931664283119,32.9
17,synthetic_planning_reference,0.104166666666572,0.166242153564083,3.28962311488593,42.2,0.1221453377937292,0.18340898163249833,3.633656777770218,44.95
18,synthetic_planning_reference,0.0524999999999523,0.210760983619369,2.49234160475036,29.65,0.06205115045219893,0.23785532369077053,2.72921813331487,31.650000000000002
19,synthetic_planning_reference,0.05499999999995,0.142954468577435,2.91393366323409,30.75,0.06357558876309943,0.1586190668128966,3.2229958621726973,32.75
20,synthetic_planning_reference,0.137499999999875,0.211106056816091,3.12718295887678,35.7,0.157726916809953,0.23641730466698313,3.4481599823765388,38.15
21,synthetic_planning_reference,0.0566666666666265,0.187651970849092,3.52959210298463,31.65,0.06534296050176777,0.2130271145610406,3.8853655910057143,33.85
22,synthetic_planning_reference,0.0958333333332291,0.207766163184493,3.36795365054132,31.7,0.11135038604984417,0.23029001895697424,3.7158781209186236,33.95
23,synthetic_planning_reference,0.152499999999867,0.230383521333832,3.42701230666201,41.1,0.17491159229039502,0.26133660548367327,3.7841453059133574,44.1
24,synthetic_planning_reference,0.0683333333332655,0.144259108980993,2.73620780545206,31.75,0.08018477906621724,0.16117663067482604,3.0152213022782064,33.9
25,synthetic_planning_reference,0.268333333333089,0.118761809541695,2.81475641812666,37.85,0.30953959159452804,0.13293517678845043,3.100523164663069,40.6
26,synthetic_planning_reference,0.113333333333225,0.244620921204531,3.42544300909563,31.25,0.1263088985082133,0.2734974813397598,3.7646463440037845,33.5
27,synthetic_planning_reference,0.0524999999999579,0.138901184865284,3.01573135400676,30.0,0.05780817819164323,0.15754814854014987,3.305222639856113,32.0
28,synthetic_planning_reference,0.0708333333332746,0.0885570471846007,3.11110453669832,32.75,0.07924712935172461,0.10025563711635375,3.431671226865966,35.15
29,synthetic_planning_reference,0.105833333333226,0.199981137690587,3.08726922182115,34.0,0.12168461562491162,0.2281791297593913,3.400074161817281,36.25
30,synthetic_planning_reference,0.0449999999999648,0.167118176600415,3.14416623254147,32.35,0.051306776538004396,0.18865462618893422,3.4366557088653313,34.2
31,synthetic_planning_reference,0.060833333333278,0.121188842810906,3.45606200650544,34.6,0.07156081487519235,0.13762313241725305,3.807048382425396,36.85
32,synthetic_planning_reference,0.10666666666657,0.25276807475337,2.84809660171892,34.8,0.12385308503785425,0.28040631168666336,3.113611519914072,37.300000000000004
33,synthetic_planning_reference,0.0491666666666106,0.134997870534296,2.96141480593651,33.45,0.05894040004723361,0.15479219491218166,3.2605426632771377,35.7
34,synthetic_planning_reference,0.110833333333244,0.149002182998707,2.46154945640841,40.5,0.1258744457729016,0.16575992711905677,2.6831954361414683,43.550000000000004
35,synthetic_planning_reference,0.0516666666666197,0.221791828554109,2.90241933713734,34.6,0.06135392094104753,0.24825938605507378,3.1845165737243826,37.050000000000004
36,synthetic_planning_reference,0.0716666666666015,0.0991330985779559,3.08981852123906,31.6,0.08664857677842237,0.11260522068868026,3.383567746443372,33.7
37,synthetic_planning_reference,0.0658333333332735,0.160771424827282,3.09261815155988,36.0,0.07481111550784933,0.18011965679998237,3.406786906749238,38.7
38,synthetic_planning_reference,0.0583333333332916,0.175177505338873,3.15729661694749,35.95,0.06904832768364151,0.1957842493607075,3.4794537530788348,38.45
39,synthetic_planning_reference,0.120833333333223,0.190650594026042,3.1224924221541,36.35,0.14095505099312247,0.21189629751327513,3.4369959934982566,38.900000000000006
