reference_sample_id,data_status,reference_severity_class,source_difficulty_score,effective_failure_severity,source_E_co_time_s,source_E_n_g,source_E_miss_m,source_E_t_s,E_co_time_s,E_n_g,E_miss_m,E_t_s
1,synthetic_planning_reference_v4,moderate,0.3671884464574108,1.5746372371485367,0.0608333333333331,0.155815100959486,2.63173769256959,38.5,0.08451951951951953,0.3158608819633487,3.2329647534340666,39.400000000000006
2,synthetic_planning_reference_v4,low,0.46174450392625327,0.15141655749032848,0.0833333333333286,0.203024047438897,2.98428007862642,31.05,0.10857357357357357,0.2249329414507963,2.9800490251389595,33.6
3,synthetic_planning_reference_v4,moderate,0.43895718644078735,1.7366752237442618,0.0424999999999969,0.204024830714689,3.10306402262995,32.55,0.08980480480480481,0.2866095821513404,3.839457593335139,38.400000000000006
4,synthetic_planning_reference_v4,low,0.8646572014663294,0.08075313205386213,0.158333333333366,0.130756801915058,3.23884582005335,34.85,0.1962124624624625,0.1120010324266429,3.2938418038219606,36.6
5,synthetic_planning_reference_v4,moderate,0.33911443077896825,2.2293827041256904,0.0758333333333539,0.192856915758986,2.91049274758638,31.4,0.13898398398398398,0.39308665214601834,3.5812342723749677,39.25
6,synthetic_planning_reference_v4,mild,0.136040724794041,0.5505212062829736,0.0275000000000048,0.190270206697486,2.93597561130937,32.05,0.0415015015015015,0.23650654536448953,3.2153594268735954,35.45
7,synthetic_planning_reference_v4,low,0.4200484308829827,0.05246646390708103,0.0816666666666862,0.161208245386472,3.22786915206773,33.05,0.08055555555555555,0.1543325797246332,3.322483906886487,35.45
8,synthetic_planning_reference_v4,moderate,0.5057462625677244,1.8843067985804585,0.120000000000027,0.145152308519479,3.32874309092452,29.35,0.18420045045045047,0.22837332168253485,4.252025257325449,37.75
9,synthetic_planning_reference_v4,low,0.45573482109750346,0.13283006036070613,0.0875000000000199,0.216461839603344,3.03072047565314,34.7,0.09749249249249249,0.2695842892782508,3.023834599928815,36.550000000000004
10,synthetic_planning_reference_v4,mild,0.45382065795070625,0.682922206845076,0.0625000000000171,0.224988895204547,2.98219293199097,32.45,0.07169044044044044,0.3335061685007855,3.4066173059257587,36.300000000000004
11,synthetic_planning_reference_v4,low,0.7501331222048798,0.15405728864808438,0.131666666666698,0.0947572724414859,2.92026057559567,32.75,0.16993618618618617,0.06802700057038945,2.9136235784120825,34.2
12,synthetic_planning_reference_v4,low,0.37631371143627124,0.07294854415822924,0.0741666666666845,0.160790074686905,3.24082729323248,34.55,0.06720095095095095,0.16531518475834006,3.3613636148915402,36.1
13,synthetic_planning_reference_v4,moderate,0.5375399983668102,1.4615753035399799,0.0550000000000097,0.208831216813965,3.24049785646734,32.0,0.06708583583583583,0.27133950521784495,3.966194992606403,37.85
14,synthetic_planning_reference_v4,mild,0.75383506172118,0.7310001783906745,0.107500000000022,0.110337509570215,3.35491200385582,35.65,0.13211711711711713,0.1645081222369197,3.97318778790335,37.550000000000004
15,synthetic_planning_reference_v4,moderate,0.658192100099498,2.0791597551760423,0.0608333333333491,0.196237071328945,3.00902244858685,33.15,0.09785285285285285,0.33844147293307697,4.249844701972055,38.800000000000004
16,synthetic_planning_reference_v4,mild,0.5637967760806473,1.4478244193319607,0.0374999999999659,0.198839002023672,3.12875944021243,30.9,0.05304179179179179,0.31963306675927183,3.8896857576581496,36.300000000000004
17,synthetic_planning_reference_v4,moderate,0.69752160975256,2.431477598737754,0.104166666666572,0.166242153564083,3.28962311488593,42.2,0.16618243243243241,0.33652258128823714,4.404432870089711,41.300000000000004
18,synthetic_planning_reference_v4,moderate,0.3187723366045973,0.9164793710612916,0.0524999999999523,0.210760983619369,2.49234160475036,29.65,0.08331831831831832,0.32949792832880465,2.639087785146822,33.7
19,synthetic_planning_reference_v4,mild,0.4964259965668695,1.264408367998373,0.05499999999995,0.142954468577435,2.91393366323409,30.75,0.10633133133133132,0.2735778179578988,3.5419420906302514,36.75
20,synthetic_planning_reference_v4,mild,0.4320055525176753,0.9568593720083342,0.137499999999875,0.211106056816091,3.12718295887678,35.7,0.17856981981981984,0.28593514777108925,3.9080566709070133,38.400000000000006
21,synthetic_planning_reference_v4,low,0.7477374975079922,0.13167288393681012,0.0566666666666265,0.187651970849092,3.52959210298463,31.65,0.07341716716716716,0.20474832507079405,3.8486258344942144,34.35
22,synthetic_planning_reference_v4,moderate,0.763672662385195,1.6053989214682782,0.0958333333332291,0.207766163184493,3.36795365054132,31.7,0.12034534534534536,0.3468818384795073,4.056424292665314,37.0
