case,dataset_kind,metric,n,mean,std,min,q1,median,q3,max,lower_whisker,upper_whisker,lower_outlier_count,upper_outlier_count
case1,synthetic_reference_v3,E_co_time_s,1000,0.05836903596423097,0.018530292983896378,0.008506287585171645,0.045622951918852135,0.056196104916266,0.06944841570618653,0.1454162427352601,0.015579550798407879,0.10332361614597774,1,19
case1,synthetic_reference_v3,E_n_g,1000,0.09690561798414592,0.03583287278033879,0.024029349021596324,0.07372788853124132,0.09025232104783155,0.11067521337721109,0.3443875863921033,0.024029349021596324,0.16516401270610287,0,52
case1,synthetic_reference_v3,E_miss_m,1000,3.306120936285926,0.5091331685800299,1.897320750949555,2.9504946060905377,3.260588568453468,3.5887965979308865,5.4024140330573225,2.019102821079731,4.509261446839119,2,22
case1,synthetic_reference_v3,E_t_s,1000,30.86495,2.49291468388333,25.05,29.3,30.400000000000002,32.0125,42.0,25.25,36.0,2,46
case1,synthetic_planning_reference_v4,E_co_time_s,1000,0.05836903596423097,0.018530292983896378,0.008506287585171645,0.045622951918852135,0.056196104916266,0.06944841570618653,0.1454162427352601,0.015579550798407879,0.10332361614597774,1,19
case1,synthetic_planning_reference_v4,E_n_g,1000,0.09246586707847558,0.025345225352286234,0.024029349021596324,0.07372788853124132,0.09025232104783155,0.11067521337721109,0.14896752299218013,0.024029349021596324,0.14896752299218013,0,0
case1,synthetic_planning_reference_v4,E_miss_m,1000,3.2942020548831987,0.4769704315219621,1.897320750949555,2.9504946060905377,3.260588568453468,3.5887965979308865,4.4836098060586105,2.019102821079731,4.4836098060586105,2,0
case1,synthetic_planning_reference_v4,E_t_s,1000,30.8637,2.481505627674493,25.05,29.3,30.400000000000002,32.0125,40.25,25.25,36.0,2,46
case2,synthetic_reference_v3,E_co_time_s,1000,0.11276744220243132,0.06009645807696965,0.007943608725865258,0.07183967744231605,0.10192520910471484,0.14047372952583265,0.4681528350242741,0.007943608725865258,0.24248692990816534,0,37
case2,synthetic_reference_v3,E_n_g,1000,0.24133787281006716,0.11235068650620612,0.016316682983734683,0.15920304886032838,0.23456441821072388,0.30978860901876915,0.7339981873863737,0.016316682983734683,0.5288777310173951,0,12
case2,synthetic_reference_v3,E_miss_m,1000,3.687526666922858,0.7105740362322007,2.273804591360996,3.208019259306098,3.596886297164985,4.079733328007464,6.940744930599188,2.273804591360996,5.363964366091636,0,26
case2,synthetic_reference_v3,E_t_s,1000,37.47515,4.543852613594996,26.150000000000002,34.087500000000006,37.075,40.800000000000004,45.0,26.150000000000002,45.0,0,0
case2,synthetic_planning_reference_v4,E_co_time_s,1000,0.11604156156156155,0.052537036885903256,0.04,0.07500093843843844,0.10500500500500501,0.1400441066066066,0.295,0.04,0.23697197197197195,0,28
case2,synthetic_planning_reference_v4,E_n_g,1000,0.23144338133058653,0.0929845759863667,0.016316682983734683,0.15920304886032838,0.23456441821072388,0.3077321725610446,0.39486289399894,0.016316682983734683,0.39486289399894,0,0
case2,synthetic_planning_reference_v4,E_miss_m,1000,3.608009396086654,0.5505741916430853,2.273804591360996,3.208019259306098,3.596886297164985,4.073763489624114,4.489976052828283,2.273804591360996,4.489976052828283,0,0
case2,synthetic_planning_reference_v4,E_t_s,1000,37.0615,2.1632805025082935,32.2,35.9,37.2,38.400000000000006,42.5,32.2,42.150000000000006,0,12
